species,order,family,pop,author,class,region,location,lon,lat,hybrid,island,habitat_type,doi_data,doi_paper,num_individuals,num_loci,gene_diversity,allelic_richness,global_fst,Ne,Ne_lower,Ne_upper,migratory_bird
Carollia_castanea,Chiroptera,Phyllostomidae,ER.23.CC,Cleary,mammal,SouthAmerica,CostaRica,-84.14568385,10.42149368,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,9,16,0.679398148148148,4.28523498560263,0.00712972802436318,NA,34.4,NA,NA
Carollia_castanea,Chiroptera,Phyllostomidae,P.3.CC,Cleary,mammal,SouthAmerica,CostaRica,-84.11642769,10.57520918,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,11,16,0.680526859504132,4.16146624273559,0.0160042515730734,371.3,25.8,NA,NA
Carollia_castanea,Chiroptera,Phyllostomidae,BT.4.CC,Cleary,mammal,SouthAmerica,CostaRica,-84.16250041,10.66241333,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,7,16,0.645408163265306,4.10470779220779,0.0406795500083014,NA,40.2,NA,NA
Carollia_castanea,Chiroptera,Phyllostomidae,ER.20.CC,Cleary,mammal,SouthAmerica,CostaRica,-84.09996326,10.46542213,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,13,16,0.700073964497041,4.45449843601008,-0.00489765081739124,NA,46,NA,NA
Carollia_castanea,Chiroptera,Phyllostomidae,BT.5.CC,Cleary,mammal,SouthAmerica,CostaRica,-84.20077907,10.67352505,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,7,16,0.711734693877551,4.61700799200799,-0.0579067412951935,148.9,13,NA,NA
Carollia_castanea,Chiroptera,Phyllostomidae,ER.27.CC,Cleary,mammal,SouthAmerica,CostaRica,-84.1536954,10.4616922,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,21,16,0.711026077097506,4.39541349044011,-0.00529964119844117,635.5,56.6,NA,NA
Carollia_castanea,Chiroptera,Phyllostomidae,ER.1.CC,Cleary,mammal,SouthAmerica,CostaRica,-84.10801737,10.44279947,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,22,16,0.723087935242968,4.41728129866823,-0.0212887341103809,46.3,25.2,153,NA
Carollia_castanea,Chiroptera,Phyllostomidae,P.3.CC,Cleary,mammal,SouthAmerica,CostaRica,-84.17877026,10.53256358,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,11,16,0.680526859504132,4.16146624273559,0.0160042515730734,371.3,25.8,NA,NA
Carollia_castanea,Chiroptera,Phyllostomidae,ER.24.CC,Cleary,mammal,SouthAmerica,CostaRica,-84.15158383,10.40755002,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,20,16,0.722949489265928,4.38702506953716,-0.0234729386184938,103.1,38.5,NA,NA
Carollia_castanea,Chiroptera,Phyllostomidae,ER.19.CC,Cleary,mammal,SouthAmerica,CostaRica,-84.12852167,10.43423721,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,16,16,0.6790771484375,4.09272684823066,0.0324977899069082,38.2,17.9,384.7,NA
Carollia_castanea,Chiroptera,Phyllostomidae,P.D.CC,Cleary,mammal,SouthAmerica,CostaRica,-84.13380114,10.55100253,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,26,16,0.684448964497041,4.14093340979174,0.0367948337785822,672.3,68.2,NA,NA
Carollia_castanea,Chiroptera,Phyllostomidae,P.9.CC,Cleary,mammal,SouthAmerica,CostaRica,-84.18164283,10.55646207,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,13,16,0.683234200361604,4.1764786815576,0.0190348033599378,22.9,12.4,67.6,NA
Carollia_castanea,Chiroptera,Phyllostomidae,ER.40.CC,Cleary,mammal,SouthAmerica,CostaRica,-84.24584339,10.41098385,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,10,16,0.68125,4.27414535928468,0.0102455228346516,105.8,21.1,NA,NA
Carollia_castanea,Chiroptera,Phyllostomidae,SV.1.CC,Cleary,mammal,SouthAmerica,CostaRica,-84.06712196,10.44590958,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,15,16,0.705416666666667,4.35153437059359,-0.00719494675665189,61.6,26,NA,NA
Carollia_castanea,Chiroptera,Phyllostomidae,SV.2.CC,Cleary,mammal,SouthAmerica,CostaRica,-84.07116899,10.43134292,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,20,16,0.704137162396122,4.26309540426182,0.00312678768072772,115,40,NA,NA
Eptesicus_serotinus,Chiroptera,Vespertilionidae,Moussy_UK7,Moussy,mammal,Europe,UK,-0.19,51.2,0,0,terrestrial,10.5061/dryad.665np,10.1038/hdy.2015.20,22,NA,0.601239669421488,3.67194357536179,0.0535484162782063,8,3.4,14.8,NA
Eptesicus_serotinus,Chiroptera,Vespertilionidae,Moussy_UK27,Moussy,mammal,Europe,UK,-1.21,50.71,0,0,terrestrial,10.5061/dryad.665np,10.1038/hdy.2015.20,11,NA,0.499586776859504,3.11345728574831,0.194842440141632,39.1,5.2,NA,NA
Eptesicus_serotinus,Chiroptera,Vespertilionidae,Moussy_UK21,Moussy,mammal,Europe,UK,-2.18,50.86,0,0,terrestrial,10.5061/dryad.665np,10.1038/hdy.2015.20,11,NA,0.57396694214876,3.48154863712139,0.074967865472892,28.4,5.4,NA,NA
