species	common_name	order	family	pop	author	class	region	location	lon	lat	hybrid	island	habitat_type	doi_data	doi_paper	num_individuals	num_loci	gene_diversity	allelic_richness	global_fst	Ne	Ne_lower	Ne_upper	migratory	migration notes	source_migratory	mating system	source_matingsys	breeding interval	source_breedingint
Artibeus_jamaicensis	Jamaican fruit-eating bat	Chiroptera	Phyllostomidae	P.11.AJ	Cleary	mammal	SouthAmerica	CostaRica	-84.1223	10.55847	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	10	10	0.70092	5.104462	0.009178	NA	21.4	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Artibeus_jamaicensis	Jamaican fruit-eating bat	Chiroptera	Phyllostomidae	SV.1.AJ	Cleary	mammal	SouthAmerica	CostaRica	-84.0671	10.44591	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	21	10	0.70849	4.867475	0.025428	60.9	18.5	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Artibeus_jamaicensis	Jamaican fruit-eating bat	Chiroptera	Phyllostomidae	ER.19.AJ	Cleary	mammal	SouthAmerica	CostaRica	-84.1285	10.43424	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	10	10	0.689667	4.977192	0.02483	NA	20.4	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Carollia_castanea	Chestnut short-tailed bat	Chiroptera	Phyllostomidae	P.11.CC	Cleary	mammal	SouthAmerica	CostaRica	-84.1223	10.55847	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	11	16	0.687758	4.397205	0.005548	212.8	19.3	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Carollia_castanea	Chestnut short-tailed bat	Chiroptera	Phyllostomidae	ER.14.CC	Cleary	mammal	SouthAmerica	CostaRica	-84.0827	10.44452	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	14	16	0.688138	4.326798	0.01505	891.5	38.5	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Carollia_castanea	Chestnut short-tailed bat	Chiroptera	Phyllostomidae	BT.9.CC	Cleary	mammal	SouthAmerica	CostaRica	-84.2765	10.50599	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	20	16	0.6804	4.051413	0.036732	15	10.6	22.4	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Carollia_castanea	Chestnut short-tailed bat	Chiroptera	Phyllostomidae	P.PA.CC	Cleary	mammal	SouthAmerica	CostaRica	-84.1482	10.53484	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	24	16	0.707411	4.336972	0.002852	20.8	14.4	32.7	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Carollia_castanea	Chestnut short-tailed bat	Chiroptera	Phyllostomidae	BT.LL.CC	Cleary	mammal	SouthAmerica	CostaRica	-84.1795	10.68167	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	11	16	0.698605	4.551197	-0.01014	66.8	15.3	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Carollia_castanea	Chestnut short-tailed bat	Chiroptera	Phyllostomidae	P.2.CC	Cleary	mammal	SouthAmerica	CostaRica	-84.1612	10.52079	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	8	16	0.683105	4.453625	-0.00568	43.7	12.4	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Carollia_castanea	Chestnut short-tailed bat	Chiroptera	Phyllostomidae	P.10.CC	Cleary	mammal	SouthAmerica	CostaRica	-84.16	10.58743	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	18	16	0.705633	4.41968	-0.00175	106.9	34.7	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
